P,Ti,Cr,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ag,Sb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,W,Bi,Pb,Deposit_Type,Fe,Ge,Te,Au,S,V,Mn,Cd,Sn,Ba,Tl,Na,Mg,Al,Si,K,Ca,Ga,In
83.7958,5.1731,2.2821,2311.3929,162.4654,0.3959,2.2404,40.503,9.1315,0.0482,0.0382,0.0948,0.0081,0.0393,0.0009,0.0067,0.0005,0.0077,0.0091,0.0051,,,,,,,0.0058,,,0.7373,0.5608,Porphyry,,,,,,,,,,,,,,,,,,,
84.3034,5.5235,0.9216,3614.6854,114.6898,0.0986,2.0735,163.1007,3.4681,0.2323,0.0726,0.0131,0.0343,0.0409,0.0029,0.0008,,0.0367,0.0494,0.0101,0.0044,0.0028,,,0.0049,0.0008,0.0038,,0.0039,1.1118,1.0644,Porphyry,,,,,,,,,,,,,,,,,,,
45.0431,5.6588,1.0876,1416.3561,214.0332,6.8262,1.9675,10.5382,26.0877,4.3956,0.6718,,0.9386,,,,0.003,,0.166,,,,,0.0109,,,,0.0156,,13.0491,19.4291,Porphyry,,,,,,,,,,,,,,,,,,,
112.0394,5.1522,0.4294,1656.12,187.2075,0.3819,1.4514,10.5028,31.0689,1.0201,0.5145,0.1154,0.0047,0.0323,,0.0045,0.0183,0.0612,,,0.0197,,0.0351,0.003,,,,0.003,0.0133,4.4348,3.4076,Porphyry,,,,,,,,,,,,,,,,,,,
55.6683,4.6517,1.8616,2457.1468,187.1933,3.0304,2.0983,13.9753,6.5462,4.1038,2.0988,0.0413,0.1721,0.0239,0.0028,,,,,0.0094,0.0189,,0.0112,,0.008,,,,0.0255,20.0174,17.2149,Porphyry,,,,,,,,,,,,,,,,,,,
67.2837,5.0472,1.776,4170.8999,133.5328,0.0428,1.6949,94.0262,5.4313,0.0183,0.037,,,0.049,,,,,0.0963,0.0114,,0.002,,,,,,,,1.24,1.2581,Porphyry,,,,,,,,,,,,,,,,,,,
59.8173,30.8774,1.9999,79.4939,67.1282,1.8091,2.7928,0.6423,1.3183,,0.0749,0.1025,0.136,,0.0095,0.0134,0.0023,,,0.009,0.0212,0.0016,,0.0032,0.0091,,0.0282,0.0063,,17.8296,6.068,Porphyry,,,,,,,,,,,,,,,,,,,
52.9711,2.8947,0.6212,106.8278,44.8283,0.0259,1.1569,0.1891,,,,,0.0301,,,,,,0.0553,,0.0111,,,0.0017,0.0096,,0.0148,,,0.0569,0.034,Porphyry,,,,,,,,,,,,,,,,,,,
34.9513,3.7741,1.8713,17.6161,52.5633,1.7115,2.0771,6.694,,0.0144,0.0265,0.0731,0.1636,0.0112,,,,0.0286,0.0343,,,,0.0194,,,0.0046,,,,1.8232,5.3461,Porphyry,,,,,,,,,,,,,,,,,,,
43.7828,4.8637,0.3921,2.4842,14.3703,0.4606,1.1217,0.8176,74.9793,0.0801,,0.0351,0.0204,0.0095,,,0.0101,,0.0963,,,,,,,0.0016,0.0076,0.0017,,,0.0005,Porphyry,,,,,,,,,,,,,,,,,,,
49.7583,2.8686,2.7877,43.9285,43.5853,0.2689,2.2474,0.091,31.7955,,0.003,,0.0196,0.0003,0.0021,,0.0079,0.0004,,0.003,0.0106,0.0016,,,,,,,0.0072,0.0092,0.0434,Porphyry,,,,,,,,,,,,,,,,,,,
64.8112,5.1927,1.8184,3.89,17.1099,0.4869,1.8735,1.1654,,0.0225,0.0045,0.0161,0.0176,0.0396,,,,,0.1552,,,,0.0127,0.0033,,,0.0072,,,0.4262,1.4264,Porphyry,,,,,,,,,,,,,,,,,,,
50.593,5.1677,1.4587,13.4455,4.1806,0.8161,0.9681,1.1565,20.104,,0.0145,0.0103,,0.057,0.0023,,,0.004,,,0.0093,0.0035,,,,,0.0157,,0.0079,1.6339,0.8452,Porphyry,,,,,,,,,,,,,,,,,,,
70.2304,3.6767,1.2152,5.8268,15.4669,1.1242,1.7089,1.6066,21.5131,0.0825,0.0106,0.0062,0.2741,0.0031,,,0.009,,,,,,0.0067,,0.0049,,,,0.0077,4.8493,3.8833,Porphyry,,,,,,,,,,,,,,,,,,,
57.8588,2.7939,4.2907,24.7422,10.3154,0.3543,1.8572,0.3799,50.2898,,0.0174,,,,0.0021,,,,0.0332,,,,0.0063,,,,,,0.0145,0.0664,0.0327,Porphyry,,,,,,,,,,,,,,,,,,,
61.7487,5.0662,1.9198,70.4481,54.2245,0.3209,1.601,0.8477,23.417,,0.0152,0.0846,0.0211,0.0061,,,,,0.0676,,0.0041,0.0023,,0.0017,0.0097,,,,0.0229,0.0057,0.0268,Porphyry,,,,,,,,,,,,,,,,,,,
53.2215,21.9086,2.0362,88.7586,59.9526,1.2444,2.9693,0.6224,2.5672,,0.0508,0.0634,0.244,0.0049,0.0063,0.0091,0.0013,,0.0152,0.0061,0.0185,0.0011,,0.0023,0.0097,,0.0247,0.0043,,12.0591,4.1012,Porphyry,,,,,,,,,,,,,,,,,,,
44.2427,3.1904,1.5853,76.3746,47.2277,0.5668,2.1299,2.5634,,0.0051,0.0034,0.0281,0.0587,0.0098,,,,0.0113,0.0468,,0.0078,,0.0037,0.0012,0.0067,0.0018,0.0105,,,0.6157,1.8043,Porphyry,,,,,,,,,,,,,,,,,,,
35.9823,4.1193,2.0306,12.4786,39.4399,1.2314,2.3491,4.8797,24.9596,0.034,0.0122,0.0628,0.1097,0.0101,,,0.0033,0.0208,0.0564,,,,0.0102,,,0.0038,0.0026,0.0006,,1.1878,3.5695,Porphyry,,,,,,,,,,,,,,,,,,,
40.3474,4.1559,1.5479,15.5722,22.384,0.3147,1.8202,0.5258,61.0108,0.0508,,0.0219,0.0147,0.0047,,,0.0092,,0.0638,0.0012,0.0042,0.0006,,,,0.0011,0.0051,0.0011,0.0028,0.001,0.0002,Porphyry,,,,,,,,,,,,,,,,,,,
50.6005,3.5451,2.3632,29.8104,33.1703,0.2879,2.6379,0.4811,21.6566,0.0114,0.0025,0.0057,0.0202,0.0141,0.0007,,0.0052,0.0001,0.0547,0.0022,0.0077,0.0012,0.0045,0.0012,,,0.0026,,0.0052,0.1551,0.5163,Porphyry,,,,,,,,,,,,,,,,,,,
58.2349,5.1446,2.0527,7.0207,12.82,0.5982,2.1116,1.2025,8.5787,0.0189,0.0081,0.0142,0.0119,0.0443,,0.0008,,,0.1064,,,0.0013,0.0088,0.0023,,,0.0106,,0.0029,0.8378,1.2675,Porphyry,,,,,,,,,,,,,,,,,,,
58.1588,5.0215,1.9524,10.2278,7.8274,0.6571,1.8336,0.7513,18.9384,0.0191,0.0115,0.0066,,0.036,0.0008,0.0008,0.001,0.0013,,,0.0031,0.0024,0.0044,,,,0.0109,,0.0055,1.1943,0.6638,Porphyry,,,,,,,,,,,,,,,,,,,
65.932,3.8279,1.8961,10.0117,13.7255,0.5991,2.6069,0.7031,29.0577,0.0466,0.0124,0.0021,0.0914,0.001,,,0.004,0.0047,0.011,,0.0007,,0.0066,,0.0016,,,,0.0087,1.7438,1.397,Porphyry,,,,,,,,,,,,,,,,,,,
58.1837,4.0254,2.9345,30.5121,22.7419,0.3014,2.4319,0.5671,37.8292,,0.0184,0.0217,0.0045,0.0033,0.0007,,,0.0047,0.0368,,0.003,0.0011,0.0021,0.0007,0.0042,,,,0.0208,0.0461,0.0282,Porphyry,,,,,,,,,,,,,,,,,,,
60.9115,14.372,2.0876,66.2253,56.3839,0.7964,2.7265,0.861,12.7711,,0.0361,0.0791,0.1319,0.0053,0.0032,0.0046,0.0006,,0.0373,0.0031,0.0109,0.0024,,0.0019,0.0106,,0.0097,0.0022,0.0175,6.1027,2.0885,Porphyry,,,,,,,,,,,,,,,,,,,
64.4852,4.0657,0.2526,123.0167,63.615,2.3363,3.9995,,38.9764,,0.0404,0.0899,0.1773,,0.012,,0.012,,,,0.0495,,,,,,0.033,0.0074,,36.2692,17.0781,Porphyry,,,,,,,,,,,,,,,,,,,
52.059,4.0357,0.6298,17.7624,56.4221,1.1165,3.0569,6.0049,,0.027,0.0088,0.0723,0.1765,0.0357,,,,0.0286,0.0509,,,,,,,,,,,2.6108,6.0244,Porphyry,,,,,,,,,,,,,,,,,,,
52.7298,4.8817,2.5839,2.1496,11.9814,0.9485,2.6252,2.1757,,,0.0039,0.0402,0.0561,0.0198,,,,,0.0639,,,,0.016,,0.0031,,0.0179,,,0.8136,2.3076,Porphyry,,,,,,,,,,,,,,,,,,,
62.1857,4.6121,0.2368,12.5859,4.0095,0.839,1.5014,1.1171,,,0.012,,0.0036,0.1527,,,,,,0.0011,0.0222,,,,,,,,0.0275,5.0257,2.674,Porphyry,,,,,,,,,,,,,,,,,,,
63.1385,3.189,0.3605,7.8278,15.9453,1.8746,1.7065,3.5208,64.681,0.0847,0.0094,0.0485,0.1571,0.0064,,,0.0117,0.0307,,,,,,,,,,,0.016,9.9093,7.748,Porphyry,,,,,,,,,,,,,,,,,,,
58.9111,5.3886,0.9763,14.1985,54.5172,2.8227,2.1535,2.686,31.4647,0.098,0.075,0.017,0.8965,0.0739,,,0.0097,0.0071,0.1033,,,,0.0136,,,,0.0151,0.0034,,0.0019,1.9143,Porphyry,,,,,,,,,,,,,,,,,,,
67.2783,5.3125,0.3793,57.1911,28.1602,0.2919,1.2228,,12.5956,0.0239,0.0067,,0.1145,0.0149,0.005,,,0.002,0.0771,,0.0379,0.0057,0.015,,0.0107,,0.0026,,,0.0081,0.0382,Porphyry,,,,,,,,,,,,,,,,,,,
48.8601,3.2513,4.862,31.0825,6.8211,,1.4663,0.6439,42.2593,,0.0154,,5.1155,0.0284,,,,,0.0103,,,0.0077,,,,0.0018,,,0.0173,0.0005,0.0008,Porphyry,,,,,,,,,,,,,,,,,,,
52.9443,3.8197,1.9213,97.1707,9.1229,9.6208,3.2526,5.9025,27.1084,0.0321,0.1897,0.2466,51.8901,,0.0069,0.0147,,,,0.0033,,,0.0137,0.0018,,0.0016,0.023,,0.0078,0.6715,5.6988,Porphyry,,,,,,,,,,,,,,,,,,,
72.1737,5.0266,,98.1721,1.8999,,2.0137,0.004,41.2221,0.116,0.0206,0.0137,0.0241,0.0098,,,,0.0392,0.0755,,,0.0014,,0.002,0.0057,,0.0089,,0.0061,,0.0213,Porphyry,,,,,,,,,,,,,,,,,,,
64.8099,3.5397,1.0347,108.9511,7.5546,0.3837,1.5847,0.8236,12.3592,0.0178,,0.0169,5.0011,,,0.0041,0.012,0.0032,,,,,,0.0017,,0.0047,,,0.0084,0.0096,0.0232,Porphyry,,,,,,,,,,,,,,,,,,,
65.6054,4.0168,0.4684,97.7549,3.3616,0.225,1.7911,0.0971,18.6745,0.1328,0.0227,0.0286,8.6155,0.0037,,0.0025,0.0084,,0.0416,,,,,0.0021,,0.002,0.0034,,,0.0003,0.0222,Porphyry,,,,,,,,,,,,,,,,,,,
44.4237,5.1577,2.3132,112.2855,7.7869,11.0933,3.1721,8.863,43.9574,0.1226,12.9588,0.2063,3.7348,0.0389,0.0208,0.0496,,0.0086,0.097,0.006,0.0105,0.0063,0.0375,0.0032,0.0223,0.0044,,0.0016,,1.3785,20.8566,Porphyry,,,,,,,,,,,,,,,,,,,
64.3357,5.2255,0.0708,101.0312,2.8924,4.0398,1.6268,1.4065,22.7515,0.0749,0.0023,,1.4701,0.0159,,0.0047,,0.0414,,,0.0259,0.0019,,,,0.0018,,0.002,,0.5744,5.0278,Porphyry,,,,,,,,,,,,,,,,,,,
41.629,4.1063,1.0399,106.0796,4.6855,1.1067,1.8489,0.0084,23.824,0.6271,0.0122,,0.0531,0.0622,0.0604,0.0022,,0.0075,,,0.0242,,,,0.0104,,0.0081,0.0018,0.0163,8.2422,1.3557,Porphyry,,,,,,,,,,,,,,,,,,,
61.2214,5.4044,1.0023,28.6289,45.8632,2.2736,2.4757,1.838,21.1345,0.0649,0.0476,0.0114,0.5975,0.0484,0.0016,0.0007,0.0075,0.0105,0.0931,,0.0119,0.0018,0.0138,,0.0034,,0.0154,0.0023,,0.0032,1.2414,Porphyry,,,,,,,,,,,,,,,,,,,
59.536,4.5958,0.8102,57.3056,21.5497,0.5533,1.9279,0.2341,27.468,0.0122,0.0052,,1.0074,0.0167,0.0032,0.0007,,0.0088,0.0672,,0.0245,0.0056,0.0097,,0.0069,0.0006,0.0061,,0.0058,0.0052,0.0254,Porphyry,,,,,,,,,,,,,,,,,,,
47.4053,3.4373,2.3038,61.3192,7.9455,4.9708,2.9786,2.4082,49.1305,0.0074,0.0671,0.0528,18.1151,0.019,0.0017,0.0039,,,0.0187,0.0012,,0.0045,0.0051,0.0007,,0.0012,0.0028,,0.0145,2.3317,10.3057,Porphyry,,,,,,,,,,,,,,,,,,,
57.1644,4.2969,1.3142,97.5955,6.572,7.8444,3.7874,3.927,41.113,0.0595,0.1294,0.1455,35.4195,0.0032,0.004,0.0088,,0.0122,0.0227,0.0023,,0.0004,0.0097,0.0019,0.0018,0.0005,0.0133,,0.0073,4.7206,11.5471,Porphyry,,,,,,,,,,,,,,,,,,,
68.2219,4.5623,0.6833,102.7203,3.7924,0.1294,2.538,0.2537,40.3292,0.086,0.0134,0.0208,0.1578,0.0064,,0.0014,0.0039,0.0253,0.0479,,,0.0009,,0.0019,0.0037,0.0016,0.0058,,0.0064,0.0032,0.0242,Porphyry,,,,,,,,,,,,,,,,,,,
64.261,4.0265,1.0379,106.1577,6.2049,0.3353,2.2172,0.5405,18.92,0.0504,0.0083,0.0286,1.0004,,,0.0041,0.01,0.0011,,,,,,0.0017,,0.0037,,,0.0053,0.0065,0.0228,Porphyry,,,,,,,,,,,,,,,,,,,
58.8851,4.8234,0.8403,101.7772,4.8088,7.861,3.1068,3.1584,34.1451,0.1253,0.2435,0.1062,1.3893,0.0197,0.0081,0.0201,0.0049,0.0019,0.0418,0.0024,0.0041,0.0025,0.0147,0.0026,0.0085,0.0028,0.0011,0.0006,,0.5265,7.7516,Porphyry,,,,,,,,,,,,,,,,,,,
51.9646,5.3284,1.4542,108.1196,6.0719,18.2444,3.5712,6.4854,43.257,0.0995,4.552,0.1482,3.2344,0.036,0.015,0.0358,,0.0201,0.0602,0.0044,0.0151,0.0051,0.0272,0.0023,0.016,0.0037,,0.0017,,1.147,16.2959,Porphyry,,,,,,,,,,,,,,,,,,,
55.6049,4.708,0.716,110.2034,3.836,4.9062,2.3228,0.951,23.1358,0.0446,0.0124,,1.0902,0.0124,,0.0029,,0.043,,,0.0161,0.0012,,,,0.0011,,0.0012,0.0127,0.3553,3.2861,Porphyry,,,,,,,,,,,,,,,,,,,
46.6016,4.3346,1.0289,86.6669,18.7822,1.1811,2.3117,0.6789,23.4201,0.2342,0.0268,0.0038,0.2169,0.0393,0.0206,0.001,0.0025,0.0199,0.031,,0.012,0.0006,0.0046,,0.0046,,0.0078,0.0014,0.0182,2.7512,0.8689,Porphyry,,,,,,,,,,,,,,,,,,,
52.444,4.2261,0.8032,94.1189,3.5427,2.1375,2.0743,0.0194,32.1018,0.9099,,,0.1473,0.1431,,0.0051,,,,,0.0556,,,,0.0238,,0.0188,0.0042,,18.6987,3.0444,Porphyry,,,,,,,,,,,,,,,,,,,
61.66,4.3091,0.1044,114.353,9.747,8.6949,1.3104,12.574,25.9702,0.1738,54.9286,0.3279,7.262,0.0482,0.0387,0.0118,,,,0.0248,,0.0065,,,0.0461,0.003,,,,2.1604,5.4249,Porphyry,,,,,,,,,,,,,,,,,,,
53.5754,5.4416,0.8113,81.3939,6.7754,0.1234,2.1043,1.0324,17.7912,0.1349,0.0101,0.0067,0.041,0.0601,0.0045,,,,0.0222,0.0066,,,0.0009,0.0018,,0.0016,,0.0017,0.0307,0.2186,0.1088,Porphyry,,,,,,,,,,,,,,,,,,,
56.713,5.3114,1.3173,156.2337,9.0036,0.3263,1.4089,,,0.076,0.0133,0.1184,,,,,,0.0739,0.1109,,0.0327,,,,,,,,0.011,0.0625,0.1208,Porphyry,,,,,,,,,,,,,,,,,,,
47.2865,57.9258,1.2202,921.6939,6.0267,346.7474,239.4964,2.3321,3.2502,0.0818,0.0324,0.2289,1.3974,0.0075,0.003,0.0082,0.003,0.0175,,,,,,0.0023,,,,0.0023,0.0808,21.2233,2.1671,Porphyry,,,,,,,,,,,,,,,,,,,
53.3381,17.6855,2.1862,2014.4971,7.4873,31.1451,11.3494,1.9968,22.16,0.0494,0.0365,,0.1814,,0.0085,0.0078,,0.0433,0.0022,0.0031,,,0.0128,0.0016,,0.003,,0.0016,1.7729,3.0276,0.7095,Porphyry,,,,,,,,,,,,,,,,,,,
64.5739,8.2199,0.1871,225.3922,15.1183,2.7716,1.273,2.3457,13.0358,10.895,23.0148,1991.5097,0.1272,0.1898,0.0506,0.0512,,0.0683,,0.0568,0.0142,0.0021,,0.0043,0.0061,,,,1.5078,16.4195,14.7164,Porphyry,,,,,,,,,,,,,,,,,,,
50.742,4.5583,0.8987,109.3825,4.0313,0.1682,1.3223,0.5172,,0.0851,,,0.0458,0.0328,,0.0046,0.0064,0.0715,,,0.0128,0.0019,,,,,,0.0038,,0.1351,0.084,Porphyry,,,,,,,,,,,,,,,,,,,
50.7323,5.4003,1.5119,522.2381,19.7418,0.0466,1.4425,3.0632,3.4863,0.0073,0.0061,0.0415,0.0725,0.0018,,,,,0.01,,,,,0.0017,0.0046,0.0015,,0.0032,,0.0464,0.1918,Porphyry,,,,,,,,,,,,,,,,,,,
54.9725,5.3601,3.5062,47.2258,56.9618,73.4956,30.5737,0.2088,10.1481,,,0.0983,0.2141,,0.0043,,0.0065,,0.0124,,,0.0016,,0.0033,,,,,0.1472,2.8834,1.4987,Porphyry,,,,,,,,,,,,,,,,,,,
61.7723,4.4815,2.8668,1.6413,155.1482,227.3983,16.6491,0.113,4.8282,,0.0732,0.0723,0.2928,0.0015,,0.0022,,0.0337,0.024,,,0.0036,0.0072,,0.0052,0.0034,0.0081,,0.0082,2.1859,0.356,Porphyry,,,,,,,,,,,,,,,,,,,
74.6762,3.873,0.8716,0.0392,22.1374,0.6787,1.9394,2.9316,18.6868,,0.0213,0.0665,0.03,0.0251,,0.004,0.0084,,0.0938,,,,,,,0.0016,,,,0.0857,0.0414,Porphyry,,,,,,,,,,,,,,,,,,,
48.2575,6.2902,0.2882,38.3137,6.3791,17.5634,1.878,2.499,,0.0237,0.0079,,0.1215,0.4377,,,0.006,,0.0256,0.0045,0.0159,,,,,,0.0213,,,0.0632,3.6477,Porphyry,,,,,,,,,,,,,,,,,,,
24.3574,6.0961,1.1502,12.5822,454.8367,891.5578,3.658,0.5864,54.2746,0.0157,0.0196,0.0727,0.7048,1.4225,0.0024,0.0065,0.0021,,0.1266,0.0003,0.0242,,,0.0018,0.0051,,,,,0.8291,13.5731,Porphyry,,,,,,,,,,,,,,,,,,,
45.4963,5.3098,4.0646,2159.63,294.9742,763.4994,5.8836,19.4315,52.7272,0.1243,0.573,0.0308,0.6709,4.9185,0.0041,0.012,,0.0092,0.0056,,0.0105,0.0031,0.0062,,,,,0.0031,,3.6158,49.2629,Porphyry,,,,,,,,,,,,,,,,,,,
54.5881,4.617,1.9909,5.8525,7.7471,0.9438,1.6425,2.4992,1.698,0.0979,0.0347,0.0149,0.0364,0.1032,0.006,0.0033,0.0057,0.0254,0.002,,,,0.0061,,0.0044,,,0.0046,,0.2344,1.6683,Porphyry,,,,,,,,,,,,,,,,,,,
56.196,5.4079,0.9176,106.1973,7.67,0.1682,2.4278,0.6841,14.1222,0.1424,0.0117,0.064,0.0281,0.0381,0.0031,,,0.0213,0.0382,0.0045,0.0108,,0.0003,0.002,,0.0011,,0.0012,0.0246,0.1739,0.1311,Porphyry,,,,,,,,,,,,,,,,,,,
54.3798,24.5794,1.0839,424.9584,8.023,100.059,106.3966,0.9136,2.4905,0.0748,0.0229,0.1294,0.4463,0.0044,,0.0032,0.0004,0.0485,0.0675,,0.0217,,,0.0017,,,,0.0009,0.0349,7.3321,0.7978,Porphyry,,,,,,,,,,,,,,,,,,,
51.5849,47.3129,1.0478,1380.2498,6.1742,227.4577,191.6674,2.4478,10.9344,0.0737,0.028,0.1209,0.9859,0.0069,0.0036,0.009,0.0014,0.0233,,0.0012,,,0.0052,0.0023,,0.0006,,0.0023,0.775,15.554,1.6632,Porphyry,,,,,,,,,,,,,,,,,,,
53.8597,14.105,1.3776,1507.4613,10.768,22.7734,10.6973,1.6629,20.6276,0.0413,0.0198,,0.1392,,0.0054,0.0057,0.0008,0.07,0.0179,0.0023,,,0.0095,0.0012,,0.0016,,0.0012,1.3114,2.4388,0.5319,Porphyry,,,,,,,,,,,,,,,,,,,
57.0471,5.5989,0.7167,196.8648,12.4164,1.3293,1.47,1.1583,10.2257,3.653,7.6747,1063.8366,0.0638,0.0768,0.0178,0.0187,0.0024,0.0857,0.0171,0.0189,0.0093,0.0014,,0.0014,0.002,,,0.0014,0.5026,5.7548,4.9778,Porphyry,,,,,,,,,,,,,,,,,,,
54.0313,5.0609,0.9452,252.224,9.5863,0.0999,1.8368,1.3412,0.4876,0.0497,0.002,0.0025,0.0317,0.0282,0.0009,0.0032,0.0039,0.046,,,0.0089,0.0013,,0.0006,0.0017,0.0006,,0.0039,,0.1074,0.0939,Porphyry,,,,,,,,,,,,,,,,,,,
52.5717,5.8807,1.1496,373.347,26.8918,19.9118,15.5398,2.1074,1.7166,0.0024,0.004,0.0243,0.0531,0.0057,,,0.0034,0.0011,0.0033,,,0.0008,,0.002,0.0032,0.0011,,0.0023,0.0682,1.1035,0.6702,Porphyry,,,,,,,,,,,,,,,,,,,
57.8848,5.2218,1.8057,37.446,80.6363,45.8496,25.8061,0.123,3.4496,,0.0131,0.0806,0.1578,0.0014,0.0014,0.0024,0.0055,0.0156,0.0188,,,0.0034,,0.0019,,0.0019,,,0.1173,2.1668,1.0705,Porphyry,,,,,,,,,,,,,,,,,,,
69.5969,4.1178,1.5857,1.1199,107.5292,77.4793,7.8075,1.0293,7.9676,,0.0434,0.0871,0.1081,0.0058,0.0008,0.0045,0.0027,0.0257,0.054,0.0011,,0.0032,0.0024,,0.0017,0.0036,0.0027,,0.0027,0.8915,0.1387,Porphyry,,,,,,,,,,,,,,,,,,,
65.5105,4.6425,0.9216,12.1113,17.3471,6.1769,2.4465,2.8558,12.5871,0.0056,0.0271,0.0453,0.0283,0.1696,0.0019,0.0027,0.0062,,0.0842,0.0027,0.0055,,,,,0.0011,0.0074,0.0005,,0.0893,1.3741,Porphyry,,,,,,,,,,,,,,,,,,,
36.0937,5.944,0.7192,28.5399,191.2575,52.9816,3.0386,2.0291,22.0676,0.0135,0.0453,0.0291,0.0589,0.9674,0.0011,,0.0059,0.0061,0.1081,0.0031,0.0464,,,,,,0.0145,0.0005,,0.2429,6.833,Porphyry,,,,,,,,,,,,,,,,,,,
26.2471,5.4957,0.9977,59.4506,471.0301,389.3055,4.7682,17.3668,62.4452,0.0324,0.1165,0.0954,1.2383,4.8478,0.0027,0.0022,0.0039,0.0061,0.1273,0.0001,0.0436,0.0029,0.0058,0.0006,0.0017,,0.0065,,,2.7102,45.1216,Porphyry,,,,,,,,,,,,,,,,,,,
47.8888,4.8255,1.9721,773.0724,232.4395,305.3265,4.7021,57.5213,39.8618,0.1008,0.2854,0.0594,0.6207,5.3827,0.0042,0.0058,0.0015,0.0123,0.0178,,0.0042,0.0039,0.0108,,0.0021,,0.0065,0.0025,,3.5417,53.3409,Porphyry,,,,,,,,,,,,,,,,,,,
56.8145,4.7785,1.2809,38.9729,6.5724,0.4794,2.1048,1.9097,5.2734,0.1123,0.0286,0.0334,0.0301,0.0822,0.004,0.003,0.0034,0.0247,0.0221,0.0015,0.0043,,0.005,0.0007,0.0035,0.0004,,0.0034,0.0082,0.2291,1.1938,Porphyry,,,,,,,,,,,,,,,,,,,
34.5358,48.6202,0.4528,446.6982,18.8782,262.7596,1023.7038,0.3343,46.5054,,0.0124,1224.2795,4.6999,,,0.0083,0.0006,,,,,,,0.0141,,,0.0015,0.0069,0.0618,216.785,27.7953,Porphyry,,,,,,,,,,,,,,,,,,,
55.4986,5.3604,2.8462,771.4482,12.647,0.0433,0.9253,5.8753,,0.0649,,0.0545,,,,,0.0073,,0.0634,,0.0122,,,0.0037,,,,0.0036,,0.0463,0.3209,Porphyry,,,,,,,,,,,,,,,,,,,
