P,Ti,Cr,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ag,Sb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,W,Bi,Pb
53.5754 ,5.4416 ,0.8113 ,81.3939 ,6.7754 ,0.1234 ,2.1043 ,1.0324 ,17.7912 ,0.1349 ,0.0101 ,0.0067 ,0.0410 ,0.0601 ,0.0045 ,,,,0.0222 ,0.0066 ,,,0.0009 ,0.0018 ,,0.0016 ,,0.0017 ,0.0307 ,0.2186 ,0.1088 
56.7130 ,5.3114 ,1.3173 ,156.2337 ,9.0036 ,0.3263 ,1.4089 ,,,0.0760 ,0.0133 ,0.1184 ,,,,,,0.0739 ,0.1109 ,,0.0327 ,,,,,,,,0.0110 ,0.0625 ,0.1208 
47.2865 ,57.9258 ,1.2202 ,921.6939 ,6.0267 ,346.7474 ,239.4964 ,2.3321 ,3.2502 ,0.0818 ,0.0324 ,0.2289 ,1.3974 ,0.0075 ,0.0030 ,0.0082 ,0.0030 ,0.0175 ,,,,,,0.0023 ,,,,0.0023 ,0.0808 ,21.2233 ,2.1671 
53.3381 ,17.6855 ,2.1862 ,2014.4971 ,7.4873 ,31.1451 ,11.3494 ,1.9968 ,22.1600 ,0.0494 ,0.0365 ,,0.1814 ,,0.0085 ,0.0078 ,,0.0433 ,0.0022 ,0.0031 ,,,0.0128 ,0.0016 ,,0.0030 ,,0.0016 ,1.7729 ,3.0276 ,0.7095 
64.5739 ,8.2199 ,0.1871 ,225.3922 ,15.1183 ,2.7716 ,1.2730 ,2.3457 ,13.0358 ,10.8950 ,23.0148 ,1991.5097 ,0.1272 ,0.1898 ,0.0506 ,0.0512 ,,0.0683 ,,0.0568 ,0.0142 ,0.0021 ,,0.0043 ,0.0061 ,,,,1.5078 ,16.4195 ,14.7164 
50.7420 ,4.5583 ,0.8987 ,109.3825 ,4.0313 ,0.1682 ,1.3223 ,0.5172 ,,0.0851 ,,,0.0458 ,0.0328 ,,0.0046 ,0.0064 ,0.0715 ,,,0.0128 ,0.0019 ,,,,,,0.0038 ,,0.1351 ,0.0840 
50.7323 ,5.4003 ,1.5119 ,522.2381 ,19.7418 ,0.0466 ,1.4425 ,3.0632 ,3.4863 ,0.0073 ,0.0061 ,0.0415 ,0.0725 ,0.0018 ,,,,,0.0100 ,,,,,0.0017 ,0.0046 ,0.0015 ,,0.0032 ,,0.0464 ,0.1918 
54.9725 ,5.3601 ,3.5062 ,47.2258 ,56.9618 ,73.4956 ,30.5737 ,0.2088 ,10.1481 ,,,0.0983 ,0.2141 ,,0.0043 ,,0.0065 ,,0.0124 ,,,0.0016 ,,0.0033 ,,,,,0.1472 ,2.8834 ,1.4987 
61.7723 ,4.4815 ,2.8668 ,1.6413 ,155.1482 ,227.3983 ,16.6491 ,0.1130 ,4.8282 ,,0.0732 ,0.0723 ,0.2928 ,0.0015 ,,0.0022 ,,0.0337 ,0.0240 ,,,0.0036 ,0.0072 ,,0.0052 ,0.0034 ,0.0081 ,,0.0082 ,2.1859 ,0.3560 
74.6762 ,3.8730 ,0.8716 ,0.0392 ,22.1374 ,0.6787 ,1.9394 ,2.9316 ,18.6868 ,,0.0213 ,0.0665 ,0.0300 ,0.0251 ,,0.0040 ,0.0084 ,,0.0938 ,,,,,,,0.0016 ,,,,0.0857 ,0.0414 
