,,,,,,,,,,,,,,,,,,,,,,
Ti,V,Cr,Mn,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sn,Sb,Ba,W,Au,Tl,Bi,Pb,,
57.66 ,0.00 ,0.00 ,0.00 ,39.46 ,15.36 ,65.34 ,67.71 ,57.71 ,1375.88 ,0.00 ,28.40 ,0.00 ,2.36 ,6.61 ,0.00 ,0.00 ,0.83 ,0.19 ,10.67 ,70.14 ,,
7.14 ,0.40 ,2.18 ,6.14 ,14.65 ,25.57 ,41.36 ,4.29 ,23.03 ,232.49 ,0.43 ,1.46 ,0.30 ,0.24 ,0.43 ,0.34 ,0.00 ,0.43 ,0.00 ,1.31 ,3.52 ,,
59.89 ,0.21 ,0.00 ,2.23 ,446.48 ,82.37 ,74.66 ,14.08 ,272.45 ,355.04 ,0.00 ,16.69 ,0.00 ,0.00 ,0.38 ,0.62 ,0.00 ,0.39 ,0.00 ,1.27 ,74.31 ,,
33.11 ,0.15 ,2.03 ,3.73 ,997.63 ,79.77 ,12.72 ,52.61 ,19.72 ,0.00 ,0.00 ,0.00 ,0.91 ,0.00 ,0.05 ,0.32 ,0.09 ,0.00 ,0.05 ,0.02 ,0.51 ,,
49.56 ,2.99 ,3.15 ,19.15 ,858.09 ,15.86 ,31.39 ,25.07 ,476.09 ,407.23 ,0.13 ,63.34 ,0.00 ,0.35 ,1.33 ,1.83 ,0.11 ,4.36 ,0.24 ,45.48 ,175.22 ,,
50.60 ,0.00 ,13.33 ,0.00 ,872.32 ,51.22 ,263.04 ,200.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.11 ,0.46 ,0.66 ,0.07 ,0.11 ,0.03 ,0.17 ,17.64 ,,
40.43 ,1.63 ,0.00 ,0.00 ,575.52 ,8.75 ,0.87 ,0.87 ,2.13 ,0.00 ,0.00 ,0.01 ,0.00 ,0.03 ,0.00 ,0.08 ,0.03 ,0.01 ,0.00 ,0.00 ,0.32 ,,
6.05 ,0.27 ,0.83 ,0.00 ,218.50 ,5.15 ,0.95 ,2.03 ,0.72 ,6.95 ,0.02 ,0.00 ,0.24 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.17 ,0.34 ,,
6.05 ,0.69 ,0.39 ,4.30 ,320.34 ,27.76 ,1.03 ,3.29 ,1.48 ,0.00 ,0.00 ,0.02 ,0.08 ,0.16 ,0.02 ,0.00 ,0.07 ,0.01 ,0.00 ,0.08 ,0.20 ,,
6.13 ,0.04 ,0.36 ,0.46 ,769.93 ,8.14 ,0.57 ,2.16 ,1.77 ,0.00 ,0.00 ,0.02 ,0.32 ,0.44 ,0.00 ,0.04 ,0.02 ,0.01 ,0.00 ,0.02 ,0.04 ,,
6.70 ,0.04 ,0.39 ,0.76 ,403.05 ,8.68 ,0.20 ,73.89 ,2.32 ,0.00 ,0.00 ,0.00 ,0.00 ,0.11 ,0.00 ,0.00 ,0.00 ,0.02 ,0.01 ,0.00 ,0.03 ,,
5.93 ,0.00 ,0.40 ,0.93 ,16.52 ,3.15 ,319.74 ,30.62 ,7.12 ,176.23 ,0.06 ,2.74 ,0.07 ,0.42 ,0.74 ,0.06 ,0.01 ,0.06 ,0.00 ,2.33 ,6.63 ,,
7.42 ,0.00 ,0.00 ,0.00 ,3.93 ,0.62 ,1.89 ,1.27 ,12.78 ,0.00 ,0.00 ,0.03 ,0.15 ,0.00 ,0.04 ,0.00 ,0.00 ,0.00 ,0.01 ,0.46 ,0.19 ,,
5.30 ,0.05 ,7.83 ,0.55 ,3.48 ,18.60 ,2.95 ,34.37 ,8.19 ,0.00 ,1.11 ,0.20 ,0.00 ,0.63 ,0.00 ,0.18 ,0.16 ,0.00 ,0.00 ,0.59 ,1.67 ,,
6.19 ,0.00 ,0.14 ,0.49 ,0.62 ,0.66 ,1.20 ,0.00 ,6.72 ,0.00 ,0.05 ,0.00 ,0.18 ,0.44 ,0.05 ,0.02 ,0.02 ,0.00 ,0.02 ,0.01 ,0.02 ,,
19.24 ,1.11 ,5.87 ,71.78 ,63.30 ,20.77 ,537.00 ,488.18 ,156.67 ,35.61 ,79.20 ,45.43 ,0.40 ,0.34 ,32.96 ,0.47 ,0.04 ,1.69 ,6.00 ,173.01 ,868.82 ,,
8.41 ,1.82 ,0.96 ,99.38 ,142.82 ,16.85 ,470.99 ,35.65 ,289.90 ,67.56 ,6.59 ,63.53 ,0.30 ,0.57 ,93.92 ,0.55 ,0.97 ,1.92 ,7.57 ,252.24 ,370.89 ,,
5.31 ,0.04 ,0.00 ,0.86 ,8.83 ,0.00 ,20.03 ,2.87 ,30.48 ,696.91 ,0.00 ,10.01 ,0.00 ,0.00 ,0.16 ,0.04 ,0.01 ,1.30 ,0.00 ,14.82 ,23.13 ,,
