Analysis spots,Fe,S,Cu,Na,Mg,Al,Si,K,Ca,Rb,Sr,Ti,V,Cr,Mn,Pb,Co,Ni,Zn,Ga,Ge,As,Se,Mo,Ag,Cd,In,Sn,Sb,Te,Ba,W,Au,Tl,Bi
Isocubanite (N +AD0- 62),ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W08+AC0-01+AC0-48,529302,448791,1843,795,1543,0.63,13910,1816,436,2.79,2.91,0.21,0.1,b.d,165,1.55,1006,14.9,296,0,12.2,2.25,46.3,11,0.55,0.22,0.06,0,0.02,b.d,0.16,0.02,0.04,0.07,0.07
W08+AC0-01+AC0-50,467638,364612,1200,2865,60817,10.2,97424,1901,784,6.18,24.5,1.72,3.3,b.d,1517,1.87,102,1.77,1058,0.18,12.8,2.78,2.52,8.77,0.11,1.38,0.01,0.65,0.52,0.11,1.45,0.01,0.01,0.15,b.d
W08+AC0-01+AC0-51,501838,430608,1585,1032,22998,1.69,37663,790,400,2.46,22.7,0.74,0.43,1.23,2326,1.23,272,2.06,417,0.04,12.4,2.11,11.9,7.58,0.7,0.58,0.01,0.52,0.08,0.11,1.64,b.d,0.02,0.19,0.03
W08+AC0-01+AC0-52,524768,462269,1009,400,400,1.14,9515,348,115,1.05,2.55,0.39,0.44,1.71,920,0.62,59.9,0.87,158,0.01,11.7,3.13,6.19,6.21,0.13,0.86,0.03,0.22,0.15,0.03,0.24,b.d,0.03,0.04,b.d
W08+AC0-01+AC0-53,507467,192815,2148,4707,42001,2.84,236483,9169,681,33.3,17.1,1.89,2.32,7.83,980,3.83,21.7,1.77,3422,0.13,16.2,5.46,0,5.55,0.01,2.04,0.16,1.81,1.63,0.02,1.41,b.d,0.03,0.31,0.04
W08+AC0-01+AC0-54,554107,443195,1033,64.5,84.1,0.2,563,25.4,25.8,0.05,1.92,0.27,0.15,1.78,701,0.06,138,0.44,25.5,0.02,12.4,1.8,9.48,7.62,0.18,0.18,0.03,0.26,0.19,0.16,0.33,0.01,0.08,0.08,0.01
W08+AC0-01+AC0-55,531472,414790,1807,1110,16569,1.67,29858,1361,613,1.8,16.13,0.62,0.4,b.d,961,2.88,1066,12.6,296,0.06,12.9,2.02,15.8,25.8,1.47,0.4,0.04,0.37,0.08,0.28,1.7,0.05,0.22,0.05,0.06
W08+AC0-01+AC0-56,551079,442585,2585,83.2,388,0.19,1073,101,38.5,0.07,0.69,0.4,0.15,0.61,1742,0.25,233,1.17,57.1,0.03,11.6,1.04,11.4,6.14,0.35,0.62,0.04,0.26,0.1,0.52,0.26,0.01,0.03,0.1,0.02
W08+AC0-01+AC0-57,449963,186563,2310,1961,56918,165,291129,4188,1446,19.2,10.5,4.24,5.97,1.3,1204,2.84,43.1,13.9,3996,2.16,18.1,9.64,6.33,15.23,0.14,0.35,0.2,1.02,0.61,b.d,1.39,0.15,0.07,b.d,0.01
W08+AC0-01+AC0-58,505216,474254,1773,428,2061,5.07,13863,127,446,0.31,3.84,7.97,0.69,5.93,1505,0.36,38.1,0.85,227,0.1,11.3,1.74,8.42,9.23,0.24,0.28,0.07,0.61,0.13,0.07,0.52,0.27,2.62,0.05,b.d
W08+AC0-01+AC0-59,523091,451254,2215,911,4653,2.91,12418,2205,909,2.6,21.6,0,0.73,2.65,1599,0.79,338,7.9,328,0.26,12.3,1.71,9.96,11.1,0.8,0.3,0.01,0.02,b.d,1.12,2.57,0.02,0.13,0.07,0.02
W08+AC0-01+AC0-60,454594,307760,1735,1375,44423,47,183318,2035,228,11.8,3.91,2.17,1.69,4.94,664,0.58,30.7,31.4,3702,0.2,17.4,1.61,2.22,5.91,0.1,0.4,0.2,0.82,0.67,0.07,0.67,0.03,0.13,0.07,b.d
W08+AC0-01+AC0-62,513259,413584,677,389,15619,71.2,54026,540,175,2.77,1.21,2.45,2.03,7.12,531,0.86,26,8.53,1051,0.14,13,2.76,0.16,8.08,0.11,0.47,0.05,0.47,0.2,0.18,0.8,0.49,0.31,0.06,0.01
